,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,PetalLenghtCm
0,5.1,3.5,1.4,0.2,Iris-setosa,short
1,4.9,3.0,1.4,0.2,Iris-setosa,short
2,4.7,3.2,1.3,0.2,Iris-setosa,short
3,4.6,3.1,1.5,0.2,Iris-setosa,short
4,5.0,3.6,1.4,0.2,Iris-setosa,short
5,5.4,3.9,1.7,0.4,Iris-setosa,short
6,4.6,3.4,1.4,0.3,Iris-setosa,short
7,5.0,3.4,1.5,0.2,Iris-setosa,short
8,4.4,2.9,1.4,0.2,Iris-setosa,short
9,4.9,3.1,1.5,0.1,Iris-setosa,short
10,5.4,3.7,1.5,0.2,Iris-setosa,short
11,4.8,3.4,1.6,0.2,Iris-setosa,short
12,4.8,3.0,1.4,0.1,Iris-setosa,short
13,4.3,3.0,1.1,0.1,Iris-setosa,short
14,5.8,4.0,1.2,0.2,Iris-setosa,short
15,5.7,4.4,1.5,0.4,Iris-setosa,short
16,5.4,3.9,1.3,0.4,Iris-setosa,short
17,5.1,3.5,1.4,0.3,Iris-setosa,short
18,5.7,3.8,1.7,0.3,Iris-setosa,short
19,5.1,3.8,1.5,0.3,Iris-setosa,short
20,5.4,3.4,1.7,0.2,Iris-setosa,short
21,5.1,3.7,1.5,0.4,Iris-setosa,short
22,4.6,3.6,1.0,0.2,Iris-setosa,short
23,5.1,3.3,1.7,0.5,Iris-setosa,short
24,4.8,3.4,1.9,0.2,Iris-setosa,short
25,5.0,3.0,1.6,0.2,Iris-setosa,short
26,5.0,3.4,1.6,0.4,Iris-setosa,short
27,5.2,3.5,1.5,0.2,Iris-setosa,short
28,5.2,3.4,1.4,0.2,Iris-setosa,short
29,4.7,3.2,1.6,0.2,Iris-setosa,short
30,4.8,3.1,1.6,0.2,Iris-setosa,short
31,5.4,3.4,1.5,0.4,Iris-setosa,short
32,5.2,4.1,1.5,0.1,Iris-setosa,short
33,5.5,4.2,1.4,0.2,Iris-setosa,short
34,4.9,3.1,1.5,0.1,Iris-setosa,short
35,5.0,3.2,1.2,0.2,Iris-setosa,short
36,5.5,3.5,1.3,0.2,Iris-setosa,short
37,4.9,3.1,1.5,0.1,Iris-setosa,short
38,4.4,3.0,1.3,0.2,Iris-setosa,short
39,5.1,3.4,1.5,0.2,Iris-setosa,short
40,5.0,3.5,1.3,0.3,Iris-setosa,short
41,4.5,2.3,1.3,0.3,Iris-setosa,short
42,4.4,3.2,1.3,0.2,Iris-setosa,short
43,5.0,3.5,1.6,0.6,Iris-setosa,short
44,5.1,3.8,1.9,0.4,Iris-setosa,short
45,4.8,3.0,1.4,0.3,Iris-setosa,short
46,5.1,3.8,1.6,0.2,Iris-setosa,short
47,4.6,3.2,1.4,0.2,Iris-setosa,short
48,5.3,3.7,1.5,0.2,Iris-setosa,short
49,5.0,3.3,1.4,0.2,Iris-setosa,short
50,7.0,3.2,4.7,1.4,Iris-versicolor,long
51,6.4,3.2,4.5,1.5,Iris-versicolor,long
52,6.9,3.1,4.9,1.5,Iris-versicolor,long
53,5.5,2.3,4.0,1.3,Iris-versicolor,long
54,6.5,2.8,4.6,1.5,Iris-versicolor,long
55,5.7,2.8,4.5,1.3,Iris-versicolor,long
56,6.3,3.3,4.7,1.6,Iris-versicolor,long
57,4.9,2.4,3.3,1.0,Iris-versicolor,long
58,6.6,2.9,4.6,1.3,Iris-versicolor,long
59,5.2,2.7,3.9,1.4,Iris-versicolor,long
60,5.0,2.0,3.5,1.0,Iris-versicolor,long
61,5.9,3.0,4.2,1.5,Iris-versicolor,long
62,6.0,2.2,4.0,1.0,Iris-versicolor,long
63,6.1,2.9,4.7,1.4,Iris-versicolor,long
64,5.6,2.9,3.6,1.3,Iris-versicolor,long
65,6.7,3.1,4.4,1.4,Iris-versicolor,long
66,5.6,3.0,4.5,1.5,Iris-versicolor,long
67,5.8,2.7,4.1,1.0,Iris-versicolor,long
68,6.2,2.2,4.5,1.5,Iris-versicolor,long
69,5.6,2.5,3.9,1.1,Iris-versicolor,long
70,5.9,3.2,4.8,1.8,Iris-versicolor,long
71,6.1,2.8,4.0,1.3,Iris-versicolor,long
72,6.3,2.5,4.9,1.5,Iris-versicolor,long
73,6.1,2.8,4.7,1.2,Iris-versicolor,long
74,6.4,2.9,4.3,1.3,Iris-versicolor,long
75,6.6,3.0,4.4,1.4,Iris-versicolor,long
76,6.8,2.8,4.8,1.4,Iris-versicolor,long
77,6.7,3.0,5.0,1.7,Iris-versicolor,long
78,6.0,2.9,4.5,1.5,Iris-versicolor,long
79,5.7,2.6,3.5,1.0,Iris-versicolor,long
80,5.5,2.4,3.8,1.1,Iris-versicolor,long
81,5.5,2.4,3.7,1.0,Iris-versicolor,long
82,5.8,2.7,3.9,1.2,Iris-versicolor,long
83,6.0,2.7,5.1,1.6,Iris-versicolor,long
84,5.4,3.0,4.5,1.5,Iris-versicolor,long
85,6.0,3.4,4.5,1.6,Iris-versicolor,long
86,6.7,3.1,4.7,1.5,Iris-versicolor,long
87,6.3,2.3,4.4,1.3,Iris-versicolor,long
88,5.6,3.0,4.1,1.3,Iris-versicolor,long
89,5.5,2.5,4.0,1.3,Iris-versicolor,long
90,5.5,2.6,4.4,1.2,Iris-versicolor,long
91,6.1,3.0,4.6,1.4,Iris-versicolor,long
92,5.8,2.6,4.0,1.2,Iris-versicolor,long
93,5.0,2.3,3.3,1.0,Iris-versicolor,long
94,5.6,2.7,4.2,1.3,Iris-versicolor,long
95,5.7,3.0,4.2,1.2,Iris-versicolor,long
96,5.7,2.9,4.2,1.3,Iris-versicolor,long
97,6.2,2.9,4.3,1.3,Iris-versicolor,long
98,5.1,2.5,3.0,1.1,Iris-versicolor,long
99,5.7,2.8,4.1,1.3,Iris-versicolor,long
100,6.3,3.3,6.0,2.5,Iris-virginica,long
101,5.8,2.7,5.1,1.9,Iris-virginica,long
102,7.1,3.0,5.9,2.1,Iris-virginica,long
103,6.3,2.9,5.6,1.8,Iris-virginica,long
104,6.5,3.0,5.8,2.2,Iris-virginica,long
105,7.6,3.0,6.6,2.1,Iris-virginica,long
106,4.9,2.5,4.5,1.7,Iris-virginica,long
107,7.3,2.9,6.3,1.8,Iris-virginica,long
108,6.7,2.5,5.8,1.8,Iris-virginica,long
109,7.2,3.6,6.1,2.5,Iris-virginica,long
110,6.5,3.2,5.1,2.0,Iris-virginica,long
111,6.4,2.7,5.3,1.9,Iris-virginica,long
112,6.8,3.0,5.5,2.1,Iris-virginica,long
113,5.7,2.5,5.0,2.0,Iris-virginica,long
114,5.8,2.8,5.1,2.4,Iris-virginica,long
115,6.4,3.2,5.3,2.3,Iris-virginica,long
116,6.5,3.0,5.5,1.8,Iris-virginica,long
117,7.7,3.8,6.7,2.2,Iris-virginica,long
118,7.7,2.6,6.9,2.3,Iris-virginica,long
119,6.0,2.2,5.0,1.5,Iris-virginica,long
120,6.9,3.2,5.7,2.3,Iris-virginica,long
121,5.6,2.8,4.9,2.0,Iris-virginica,long
122,7.7,2.8,6.7,2.0,Iris-virginica,long
123,6.3,2.7,4.9,1.8,Iris-virginica,long
124,6.7,3.3,5.7,2.1,Iris-virginica,long
125,7.2,3.2,6.0,1.8,Iris-virginica,long
126,6.2,2.8,4.8,1.8,Iris-virginica,long
127,6.1,3.0,4.9,1.8,Iris-virginica,long
128,6.4,2.8,5.6,2.1,Iris-virginica,long
129,7.2,3.0,5.8,1.6,Iris-virginica,long
130,7.4,2.8,6.1,1.9,Iris-virginica,long
131,7.9,3.8,6.4,2.0,Iris-virginica,long
132,6.4,2.8,5.6,2.2,Iris-virginica,long
133,6.3,2.8,5.1,1.5,Iris-virginica,long
134,6.1,2.6,5.6,1.4,Iris-virginica,long
135,7.7,3.0,6.1,2.3,Iris-virginica,long
136,6.3,3.4,5.6,2.4,Iris-virginica,long
137,6.4,3.1,5.5,1.8,Iris-virginica,long
138,6.0,3.0,4.8,1.8,Iris-virginica,long
139,6.9,3.1,5.4,2.1,Iris-virginica,long
140,6.7,3.1,5.6,2.4,Iris-virginica,long
141,6.9,3.1,5.1,2.3,Iris-virginica,long
142,5.8,2.7,5.1,1.9,Iris-virginica,long
143,6.8,3.2,5.9,2.3,Iris-virginica,long
144,6.7,3.3,5.7,2.5,Iris-virginica,long
145,6.7,3.0,5.2,2.3,Iris-virginica,long
146,6.3,2.5,5.0,1.9,Iris-virginica,long
147,6.5,3.0,5.2,2.0,Iris-virginica,long
148,6.2,3.4,5.4,2.3,Iris-virginica,long
149,5.9,3.0,5.1,1.8,Iris-virginica,long
